f_Hz,Omega_gw,chirality
1e-12,9.202e-15,-0.5984
1.122e-12,9.941e-15,-0.5983
1.2589e-12,1.073e-14,-0.5982
1.4125e-12,1.156e-14,-0.598
1.5849e-12,1.245e-14,-0.5979
1.7783e-12,1.339e-14,-0.5977
1.9953e-12,1.438e-14,-0.5975
2.2387e-12,1.544e-14,-0.5973
2.5119e-12,1.655e-14,-0.5971
2.8184e-12,1.772e-14,-0.5969
3.1623e-12,1.895e-14,-0.5966
3.5481e-12,2.024e-14,-0.5963
3.9811e-12,2.16e-14,-0.596
4.4668e-12,2.303e-14,-0.5957
5.0119e-12,2.452e-14,-0.5953
5.6234e-12,2.608e-14,-0.5949
6.3096e-12,2.771e-14,-0.5944
7.0795e-12,2.94e-14,-0.5939
7.9433e-12,3.117e-14,-0.5933
8.9125e-12,3.3e-14,-0.5927
1e-11,3.491e-14,-0.592
1.122e-11,3.688e-14,-0.5913
1.2589e-11,3.893e-14,-0.5904
1.4125e-11,4.103e-14,-0.5895
1.5849e-11,4.321e-14,-0.5885
1.7783e-11,4.545e-14,-0.5873
1.9953e-11,4.776e-14,-0.5861
2.2387e-11,5.012e-14,-0.5847
2.5119e-11,5.254e-14,-0.5832
2.8184e-11,5.502e-14,-0.5814
3.1623e-11,5.756e-14,-0.5796
3.5481e-11,6.014e-14,-0.5775
3.9811e-11,6.277e-14,-0.5752
4.4668e-11,6.544e-14,-0.5727
5.0119e-11,6.815e-14,-0.57
5.6234e-11,7.089e-14,-0.5671
6.3096e-11,7.366e-14,-0.5639
7.0795e-11,7.645e-14,-0.5606
7.9433e-11,7.926e-14,-0.5571
8.9125e-11,8.208e-14,-0.5535
1e-10,8.491e-14,-0.5499
1.122e-10,8.774e-14,-0.5465
1.2589e-10,9.057e-14,-0.5435
1.4125e-10,9.338e-14,-0.5413
1.5849e-10,9.617e-14,-0.5402
1.7783e-10,9.893e-14,-0.5408
1.9953e-10,1.017e-13,-0.5436
2.2387e-10,1.044e-13,-0.5494
2.5119e-10,1.07e-13,-0.5586
2.8184e-10,1.096e-13,-0.5716
3.1623e-10,1.121e-13,-0.5878
3.5481e-10,1.146e-13,-0.6059
3.9811e-10,1.169e-13,-0.6227
4.4668e-10,1.192e-13,-0.6332
5.0119e-10,1.214e-13,-0.6317
5.6234e-10,1.235e-13,-0.6138
6.3096e-10,1.256e-13,-0.581
7.0795e-10,1.275e-13,-0.5456
7.9433e-10,1.292e-13,-0.5306
8.9125e-10,1.309e-13,-0.5549
1e-09,1.324e-13,-0.6056
1.122e-09,1.338e-13,-0.6261
1.2589e-09,1.351e-13,-0.575
1.4125e-09,1.362e-13,-0.525
1.5849e-09,1.372e-13,-0.5808
1.7783e-09,1.381e-13,-0.6162
1.9953e-09,1.388e-13,-0.5264
2.2387e-09,1.393e-13,-0.5889
2.5119e-09,1.397e-13,-0.5688
2.8184e-09,1.399e-13,-0.562
3.1623e-09,1.4e-13,-0.5546
3.5481e-09,1.399e-13,-0.603
3.9811e-09,1.397e-13,-0.5184
4.4668e-09,1.393e-13,-0.5277
5.0119e-09,1.388e-13,-0.5646
5.6234e-09,1.381e-13,-0.5707
6.3096e-09,1.372e-13,-0.54
7.0795e-09,1.362e-13,-0.501
7.9433e-09,1.351e-13,-0.5872
8.9125e-09,1.338e-13,-0.4999
1e-08,1.324e-13,-0.5684
1.122e-08,1.309e-13,-0.5793
1.2589e-08,1.292e-13,-0.5261
1.4125e-08,1.275e-13,-0.5285
1.5849e-08,1.256e-13,-0.4819
1.7783e-08,1.235e-13,-0.4806
1.9953e-08,1.214e-13,-0.5744
2.2387e-08,1.192e-13,-0.5573
2.5119e-08,1.169e-13,-0.524
2.8184e-08,1.146e-13,-0.5524
3.1623e-08,1.121e-13,-0.465
3.5481e-08,1.096e-13,-0.4954
3.9811e-08,1.07e-13,-0.4618
4.4668e-08,1.044e-13,-0.4682
5.0119e-08,1.017e-13,-0.5404
5.6234e-08,9.893e-14,-0.4854
6.3096e-08,9.617e-14,-0.4562
7.0795e-08,9.338e-14,-0.5191
7.9433e-08,9.057e-14,-0.4453
8.9125e-08,8.774e-14,-0.5041
1e-07,8.491e-14,-0.4156
1.122e-07,8.208e-14,-0.4732
1.2589e-07,7.926e-14,-0.4062
1.4125e-07,7.645e-14,-0.4832
1.5849e-07,7.366e-14,-0.3798
1.7783e-07,7.089e-14,-0.4155
1.9953e-07,6.815e-14,-0.4318
2.2387e-07,6.544e-14,-0.3595
2.5119e-07,6.277e-14,-0.4476
2.8184e-07,6.014e-14,-0.4082
3.1623e-07,5.756e-14,-0.3328
3.5481e-07,5.502e-14,-0.4198
3.9811e-07,5.254e-14,-0.3938
4.4668e-07,5.012e-14,-0.3773
5.0119e-07,4.776e-14,-0.3859
5.6234e-07,4.545e-14,-0.3346
6.3096e-07,4.321e-14,-0.2747
7.0795e-07,4.103e-14,-0.361
7.9433e-07,3.893e-14,-0.2517
8.9125e-07,3.688e-14,-0.2795
1e-06,3.491e-14,-0.2926
1.122e-06,3.3e-14,-0.3153
1.2589e-06,3.117e-14,-0.2921
1.4125e-06,2.94e-14,-0.2057
1.5849e-06,2.771e-14,-0.2084
1.7783e-06,2.608e-14,-0.1659
1.9953e-06,2.452e-14,-0.2198
2.2387e-06,2.303e-14,-0.1774
2.5119e-06,2.16e-14,-0.2231
2.8184e-06,2.024e-14,-0.1893
3.1623e-06,1.895e-14,-0.1707
3.5481e-06,1.772e-14,-0.1233
3.9811e-06,1.655e-14,-0.09645
4.4668e-06,1.544e-14,-0.05743
5.0119e-06,1.438e-14,-0.1284
5.6234e-06,1.339e-14,-0.09297
6.3096e-06,1.245e-14,-0.06042
7.0795e-06,1.156e-14,0.0019
7.9433e-06,1.073e-14,0.005712
8.9125e-06,9.941e-15,-0.06247
1e-05,9.202e-15,0.001787
1.122e-05,8.509e-15,0.02179
1.2589e-05,7.859e-15,0.054
1.4125e-05,7.251e-15,0.09464
1.5849e-05,6.682e-15,0.09861
1.7783e-05,6.151e-15,0.1217
1.9953e-05,5.656e-15,0.0636
2.2387e-05,5.195e-15,0.1437
2.5119e-05,4.767e-15,0.09276
2.8184e-05,4.369e-15,0.1196
3.1623e-05,3.999e-15,0.1955
3.5481e-05,3.657e-15,0.208
3.9811e-05,3.34e-15,0.1254
4.4668e-05,3.048e-15,0.1595
5.0119e-05,2.778e-15,0.2243
5.6234e-05,2.529e-15,0.244
6.3096e-05,2.3e-15,0.2218
7.0795e-05,2.089e-15,0.2623
7.9433e-05,1.895e-15,0.3029
8.9125e-05,1.718e-15,0.2629
0.0001,1.555e-15,0.2598
0.0001122,1.406e-15,0.24
0.00012589,1.271e-15,0.3481
0.00014125,1.146e-15,0.3548
0.00015849,1.033e-15,0.2965
0.00017783,9.303e-16,0.3198
0.00019953,8.366e-16,0.3045
0.00022387,7.516e-16,0.3419
0.00025119,6.744e-16,0.4016
0.00028184,6.045e-16,0.3493
0.00031623,5.412e-16,0.4156
0.00035481,4.84e-16,0.4047
0.00039811,4.324e-16,0.4483
0.00044668,3.859e-16,0.412
0.00050119,3.44e-16,0.4646
0.00056234,3.062e-16,0.4274
0.00063096,2.724e-16,0.3825
0.00070795,2.42e-16,0.3885
0.00079433,2.147e-16,0.4034
0.00089125,1.903e-16,0.4274
0.001,1.685e-16,0.478
0.001122,1.491e-16,0.4197
0.0012589,1.317e-16,0.4762
0.0014125,1.162e-16,0.5193
0.0015849,1.025e-16,0.4415
0.0017783,9.021e-17,0.4607
0.0019953,7.935e-17,0.4608
0.0022387,6.971e-17,0.5352
0.0025119,6.118e-17,0.5241
0.0028184,5.363e-17,0.4547
0.0031623,4.696e-17,0.5574
0.0035481,4.108e-17,0.5202
0.0039811,3.589e-17,0.5445
0.0044668,3.132e-17,0.5645
0.0050119,2.731e-17,0.5047
0.0056234,2.378e-17,0.5703
0.0063096,2.068e-17,0.5392
0.0070795,1.797e-17,0.5644
0.0079433,1.56e-17,0.5376
0.0089125,1.352e-17,0.5901
0.01,1.171e-17,0.5897
0.01122,1.013e-17,0.5904
0.012589,8.753e-18,0.5978
0.014125,7.555e-18,0.6007
0.015849,6.513e-18,0.5275
0.017783,5.609e-18,0.5115
0.019953,4.825e-18,0.5633
0.022387,4.146e-18,0.5467
0.025119,3.559e-18,0.6093
0.028184,3.051e-18,0.5619
0.031623,2.613e-18,0.5953
0.035481,2.235e-18,0.517
0.039811,1.91e-18,0.5905
0.044668,1.63e-18,0.5232
0.050119,1.39e-18,0.5313
0.056234,1.184e-18,0.5408
0.063096,1.007e-18,0.6237
0.070795,8.559e-19,0.5831
0.079433,7.265e-19,0.5743
0.089125,6.16e-19,0.6197
0.1,5.217e-19,0.6057
0.1122,4.414e-19,0.6294
0.12589,3.73e-19,0.63
0.14125,3.149e-19,0.5721
0.15849,2.655e-19,0.5424
0.17783,2.236e-19,0.63
0.19953,1.881e-19,0.6307
0.22387,1.581e-19,0.6122
0.25119,1.327e-19,0.6039
0.28184,1.113e-19,0.5975
0.31623,9.322e-20,0.6007
0.35481,7.799e-20,0.5385
0.39811,6.518e-20,0.5382
0.44668,5.441e-20,0.5564
0.50119,4.537e-20,0.6006
0.56234,3.779e-20,0.6162
0.63096,3.145e-20,0.5773
